oaci,uf,municipio,longitude,latitude
SDNM,Mato Grosso,Nova Mutum,-13.821111,-56.038611
SSMT,Rio Grande do Sul,Mostardas,-31.104167,-50.912222
SNYB,Minas Gerais,Ituiutaba,-19.001944,-49.487222
SBUR,Minas Gerais,Uberaba,-19.764722,-47.966111
SNFE,Minas Gerais,Alfenas,-21.431667,-45.933056
SSUV,Paraná,União da Vitória,-26.231667,-51.068889
SDGC,São Paulo,Garça,-22.183611,-49.656111
SWTP,Amazonas,Santa Isabel do Rio Negro,-0.41694444,-65.033889
SDAA,São Paulo,Araras,-22.336944,-47.358333
SNQX,Ceará,Quixadá,-4.9788889,-38.987778
SDUQ,São Paulo,Paraguaçu Paulista,-22.426944,-50.606944
SDRR,São Paulo,Avaré,-23.092222,-48.987222
SSBL,Santa Catarina,Blumenau,-26.832778,-49.093611
SBCN,Goiás,Caldas Novas,-17.724722,-48.61
SNBS,Maranhão,Balsas,-7.5252778,-46.053333
SWNK,Amazonas,Boca do Acre,-8.8347222,-67.3125
SSSZ,Paraná,Sertanópolis,-23.061944,-51.013889
SSAN,Paraná,Andirá,-23.026944,-50.228333
SBTT,Amazonas,Tabatinga,-4.2505556,-69.937778
SNUH,Minas Gerais,Piumhi,-20.438889,-45.992222
SNGB,Piauí,Gilbués,-9.8336111,-45.367222
SNUN,Minas Gerais,Unaí,-16.353889,-46.926944
SWHT,Amazonas,Humaitá,-7.5336111,-63.050556
SWII,Amazonas,Santo Antônio do Içá,-2.9336111,-69.694722
SSNQ,Mato Grosso do Sul,Nioaque,-21.184722,-55.830278
SNBA,São Paulo,Barretos,-20.585556,-48.595833
SNIE,Bahia,Caetité,-14.012222,-42.493889
SDAD,São Paulo,Adamantina,-21.696111,-51.096389
SNEB,Pará,Paragominas,-3.0197222,-47.316389
SDBY,São Paulo,Bariri,-22.069167,-48.706389
SNRU,Pernambuco,Caruaru,-8.2844444,-36.010833
SBPS,Bahia,Porto Seguro,-16.438056,-39.077778
SNBG,Espírito Santo,Baixo Guandu,-19.498889,-41.041944
SSGB,Paraná,Guaratuba,-25.880556,-48.612222
SWCZ,Goiás,Ceres,-15.344722,-49.604722
SSRG,São Paulo,Registro,-24.531667,-47.840278
SBUA,Amazonas,São Gabriel da Cachoeira,-0.14805556,-66.985833
SSPG,Paraná,Paranaguá,-25.540556,-48.531111
SNCZ,Minas Gerais,Ponte Nova,-20.403056,-42.916667
SNAS,Minas Gerais,Três Marias,-18.225,-45.190556
SWXV,Mato Grosso,Nova Xavantina,-14.690833,-52.349167
SBOI,Amapá,Oiapoque,3.86138889,-51.796111
SSMR,Paraná,Manoel Ribas,-24.529444,-51.651667
SNBX,Bahia,Barra,-11.081111,-43.1475
SNCA,Minas Gerais,Campo Belo,-20.8925,-45.335556
SSKK,Rio Grande do Sul,Capão da Canoa,-29.763611,-50.036944
SSQC,Paraná,Siqueira Campos,-23.674444,-49.818889
SWFX,Mato Grosso,São Félix do Araguaia,-11.631944,-50.688333
SDKK,São Paulo,Mococa,-21.487222,-47.033889
SNPX,Minas Gerais,Pirapora,-17.313889,-44.858611
SWPK,Mato Grosso,Poconé,-16.271667,-56.651111
SDCG,Amazonas,São Paulo de Olivença,-3.4691667,-68.921111
SNZR,Minas Gerais,Paracatu,-17.243056,-46.881389
SDET,São Paulo,Tietê,-23.104722,-47.724444
SNBM,Minas Gerais,Muriaé,-21.128889,-42.366944
SSCT,Paraná,Cianorte,-23.691667,-52.642222
SNEE,Rio Grande do Sul,Vacaria,-28.431944,-51.022778
SNQD,Paraíba,Sousa,-6.7855556,-38.233889
SSST,Rio Grande do Sul,Santiago,-29.215,-54.842222
SSKS,Rio Grande do Sul,Cachoeira do Sul,-30.002222,-52.940278
SSEZ,Rio Grande do Sul,Espumoso,-28.738056,-52.855556
SBUG,Rio Grande do Sul,Uruguaiana,-29.783333,-57.036944
SDBB,São Paulo,Bebedouro,-20.900278,-48.473611
SWTY,Tocantins,Taguatinga,-12.433889,-46.400556
SWUD,Minas Gerais,Cláudio,-20.445833,-44.812778
SWUA,Goiás,São Miguel do Araguaia,-13.333889,-50.205833
SSRZ,Rio Grande do Sul,Rosário do Sul,-30.2775,-54.925278
SJTS,Pará,Terra Santa,-2.0727778,-56.488889
SSHZ,Rio Grande do Sul,Horizontina,-27.638333,-54.338889
SDMO,São Paulo,Monte Alto,-21.258056,-48.524167
SIBZ,Paraíba,Itaporanga,-7.3111111,-38.113611
SWBC,Amazonas,Barcelos,-0.98083333,-62.918889
SBVH,Rondônia,Vilhena,-12.694167,-60.097222
SNIG,Ceará,Iguatu,-6.3477778,-39.298611
SWWU,Goiás,Uruaçu,-14.544722,-49.091111
SWEK,Mato Grosso,Canarana,-13.5775,-52.268056
SNBZ,Bahia,Paramirim,-13.490556,-42.229167
SILC,Mato Grosso,Lucas do Rio Verde,-13.037778,-55.950278
SSSS,Santa Catarina,São Francisco do Sul,-26.221111,-48.564444
SNTM,Minas Gerais,Turmalina,-17.233889,-42.733889
SWJN,Mato Grosso,Juína,-11.419444,-58.71
SSIE,Mato Grosso do Sul,Campo Grande,-20.603889,-54.595278
SSGW,Paraná,Goioerê,-24.219722,-53.043889
SNKN,Rio Grande do Norte,Currais Novos,-6.2808333,-36.540278
SIBY,Paraíba,Monteiro,-7.8783333,-37.136667
SNRD,Bahia,Prado,-17.296944,-39.271944
SDH2,Mato Grosso,Porto Alegre do Norte,-10.918056,-51.608889
SWUZ,Goiás,Luziânia,-16.261667,-47.968611
SSPN,Mato Grosso do Sul,Paranaíba,-19.651111,-51.199444
SNYA,Pará,Almeirim,-1.4791667,-52.578056
SNJO,Paraíba,João Pessoa,-7.0916667,-34.841944
SJGU,Tocantins,Araguatins,-5.6858333,-48.114167
SNAP,Minas Gerais,Janaúba,-15.731944,-43.323056
,Mato Grosso do Sul,Nova Andradina,-22.1625,-53.330278
SBTB,Pará,Oriximiná,-1.4897222,-56.396944
SSOS,Rio Grande do Sul,Osório,-29.902222,-50.249167
SSAK,Rio Grande do Sul,Cruz Alta,-28.658611,-53.611389
SJQN,Goiás,Quirinópolis,-18.446111,-50.409167
SWPY,Mato Grosso,Primavera do Leste,-15.5625,-54.330556
SNIO,Bahia,Cipó,-11.125278,-38.486944
SNFX,Pará,São Félix do Xingu,-6.6413889,-51.952222
SBMY,Amazonas,Manicoré,-5.8169444,-61.283889
SSWS,Rio Grande do Sul,Caçapava do Sul,-30.549722,-53.458056
SSBN,Rio Grande do Sul,Porto Alegre,-30.189167,-51.1825
SNJQ,Minas Gerais,Jequitinhonha,-16.441389,-41.037222
SBCI,Maranhão,Carolina,-7.3205556,-47.458611
SWLB,Amazonas,Lábrea,-7.2788889,-64.769444
SNDC,Pará,Redenção,-8.0311111,-49.979722
SBAA,Pará,Conceição do Araguaia,-8.3486111,-49.303056
SNPA,Minas Gerais,Pará de Minas,-19.8425,-44.600833
SBAR,Sergipe,Aracaju,-10.985278,-37.073333
SSAQ,Rio Grande do Sul,Passo Fundo,-28.250556,-52.516667
SWFN,Amazonas,Manaus,-3.0727778,-60.021111
SNMN,Minas Gerais,Minas Novas,-17.233889,-42.583889
SSJA,Santa Catarina,Joaçaba,-27.172778,-51.551667
SWCB,Goiás,Campos Belos,-13.006944,-46.710833
SWNH,Goiás,Aruanã,-14.933056,-51.048333
SNMZ,Pará,Porto de Moz,-1.7413889,-52.235833
SNOF,Minas Gerais,Ouro Fino,-22.2975,-46.393333
SNVC,Minas Gerais,Viçosa,-20.744722,-42.841944
SNMR,Bahia,Maraú,-14.117222,-38.983889
SJAU,Tocantins,Araguacema,-8.8377778,-49.557778
SDXJ,Mato Grosso do Sul,Costa Rica,-18.491389,-53.168333
SNCS,Ceará,Campos Sales,-7.0516667,-40.358333
SNED,Bahia,Canavieiras,-15.666389,-38.955278
SNXQ,Bahia,Xique-Xique,-10.834167,-42.683333
SWCQ,Rondônia,Costa Marques,-12.421667,-64.251667
SSPL,Rio Grande do Sul,Palmeira das Missões,-27.901667,-53.328889
SDUB,São Paulo,Ubatuba,-23.441389,-45.076111
SWNQ,Goiás,Niquelândia,-14.436389,-48.491944
SDIV,São Paulo,Ituverava,-20.375278,-47.768611
SBMD,Pará,Almeirim,-0.88972222,-52.602222
SNRP,Minas Gerais,Rio Paranaíba,-19.2125,-46.240556
SDLY,São Paulo,Matão,-21.624167,-48.350833
SNIP,Bahia,Itapetinga,-15.244444,-40.277222
SSQT,Paraná,Castro,-24.8075,-49.960278
SSSG,Rio Grande do Sul,São Gabriel,-30.345,-54.267778
SSPT,Paraná,Palotina,-24.343333,-53.828611
SNJM,Minas Gerais,Manhuaçu,-20.259722,-42.183889
SNZA,Minas Gerais,Pouso Alegre,-22.288889,-45.919444
SSIR,Rio Grande do Sul,Ibirubá,-28.604167,-53.078611
SNTI,Pará,Óbidos,-1.8680556,-55.514444
SNLI,Minas Gerais,Abaeté,-19.155833,-45.495
SNVD,Bahia,Santa Maria da Vitória,-13.404722,-44.223056
,Mato Grosso,Campo Novo do Parecis,-13.731389,-57.891667
SSLT,Rio Grande do Sul,Alegrete,-29.8125,-55.893333
SSRE,Paraná,Realeza,-25.801111,-53.513056
SDOV,Goiás,Mozarlândia,-14.768889,-50.565
SNAB,Pernambuco,Araripina,-7.5863889,-40.535278
SDLL,São Paulo,Leme,-22.225833,-47.380833
SNFO,Minas Gerais,Formiga,-20.395278,-45.486667
SWKQ,Piauí,São Raimundo Nonato,-9.0827778,-42.644444
SBRP,São Paulo,Ribeirão Preto,-21.136389,-47.776667
SNUI,Minas Gerais,Araçuaí,-16.851944,-42.046111
SDXF,Goiás,Alto Paraíso de Goiás,-14.119167,-47.530278
SSJI,Mato Grosso do Sul,Jardim,-21.492778,-56.1525
SWIQ,Goiás,Minaçu,-13.550556,-48.200556
SNGG,Piauí,Bom Jesus,-9.0594444,-44.369167
SWTO,Tocantins,Paraíso do Tocantins,-10.173889,-48.932778
SSEE,Rio Grande do Sul,Estrela,-29.453333,-51.934167
SNSM,Pará,Salinópolis,-0.69638889,-47.336667
SSRS,Maranhão,Barreirinhas,-2.7566667,-42.804444
